Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
11,11,CameraOperator,Lily020004,xxx .,Lily,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofLily_Lily020004_11
12,12,Mother,Lily020004,you wanna stay in here and play with Manuela ?,Lily,20.996,23.121,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|4|POBJ] [6|5|CONJ] [7|6|COORD] [8|7|JCT] [9|8|POBJ 10|3|PUNCT],[pro:per|you] [mod:aux|wanna] [cop|stay] [prep|in] [adv|here] [coord|and] [n|play] [prep|with] [n:prop|Manuela ?],,,,,,,,,,MotherofLily_Lily020004_12
13,13,Lily,Lily020004,xxx .,Lily,23.121,26.148,[],[],[],,,,,,,,,,LilyofLily_Lily020004_13
14,14,Mother,Lily020004,"she's going to get the camera , she's coming back .",Lily,0.0,0.0,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|7|DET] [7|5|OBJ 8|7|LP] [9|11|SUBJ 10|11|AUX] [11|7|XMOD] [12|11|JCT 13|3|PUNCT],[pro:sub|she~aux|be&3S] [part|go-PRESP] [inf|to] [v|get] [det:art|the] [n|camera cm|cm] [pro:sub|she~aux|be&3S] [part|come-PRESP] [adv|back .],,,,,,,,,,MotherofLily_Lily020004_14
15,15,Mother,Lily020004,wo:w .,Lily,26.148,33.006,[],[1|0|INCROOT 2|1|PUNCT],[co|wow .],,,,,,,,,,MotherofLily_Lily020004_15
16,16,Mother,Lily020004,ya:y .,Lily,33.008,35.315,[],[1|0|INCROOT 2|1|PUNCT],[co|yay .],,,,,,,,,,MotherofLily_Lily020004_16
17,17,Lily,Lily020004,{ hooray (?) } .,Lily,35.315,38.341,[],[1|0|INCROOT 2|1|PUNCT],[co|hooray .],,,,,,,,,,LilyofLily_Lily020004_17
18,18,Mother,Lily020004,hello: camera .,Lily,0.0,0.0,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|hello] [n|camera .],,,,,,,,,,MotherofLily_Lily020004_18
19,19,Lily,Lily020004,it's yyy it's &-um &-um yyy { resting (?) } it's { resting (?) } on the cube .,Lily,38.341,50.675,[],[1|2|SUBJ 2|0|ROOT] [] [3|5|SUBJ 4|5|AUX] [] [] [] [5|2|PRED] [6|8|SUBJ 7|8|AUX] [8|5|XJCT] [9|8|JCT] [10|11|DET] [11|9|POBJ 12|2|PUNCT],[pro:per|it~cop|be&3S] [] [pro:per|it~aux|be&3S] [] [] [] [part|rest-PRESP] [pro:per|it~aux|be&3S] [part|rest-PRESP] [prep|on] [det:art|the] [n|cube .],,,,,,,,,,LilyofLily_Lily020004_19
20,20,Mother,Lily020004,it's resting on the cube ?,Lily,0.0,0.0,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|6|DET] [6|4|POBJ 7|3|PUNCT],[pro:per|it~aux|be&3S] [part|rest-PRESP] [prep|on] [det:art|the] [n|cube ?],,,,,,,,,,MotherofLily_Lily020004_20
21,21,Lily,Lily020004,yeah .,Lily,50.675,52.62,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,LilyofLily_Lily020004_21
22,22,Mother,Lily020004,or it's next to the cube ?,Lily,0.0,0.0,[],[1|3|LINK] [2|3|SUBJ 3|0|ROOT] [4|3|PRED] [5|3|JCT] [6|7|DET] [7|5|POBJ 8|3|PUNCT],[coord|or] [pro:per|it~cop|be&3S] [adj|next] [prep|to] [det:art|the] [n|cube ?],,,,,,,,,,MotherofLily_Lily020004_22
23,23,Lily,Lily020004,yyy .,Lily,52.62,54.355,CHI is eating something so hard to hear,[],[],,,,,,,,,,LilyofLily_Lily020004_23
24,24,Lily,Lily020004,cube .,Lily,54.355,56.878,[],[1|0|INCROOT 2|1|PUNCT],[n|cube .],,,,,,,,,,LilyofLily_Lily020004_24
25,25,Mother,Lily020004,"next to the cube , you're right , it is .",Lily,0.0,0.0,[],[1|7|JCT] [2|1|JCT] [3|4|DET] [4|2|POBJ 5|1|LP] [6|7|SUBJ 7|0|ROOT] [8|7|PRED 9|7|LP] [10|11|SUBJ] [11|7|CJCT 12|7|PUNCT],[adv|next] [prep|to] [det:art|the] [n|cube cm|cm] [pro:per|you~cop|be&PRES] [adj|right cm|cm] [pro:per|it] [cop|be&3S .],,,,,,,,,,MotherofLily_Lily020004_25
26,26,Mother,Lily020004,very good .,Lily,56.878,58.55,[],[1|2|JCT] [2|0|INCROOT 3|2|PUNCT],[adv|very] [adj|good .],,,,,,,,,,MotherofLily_Lily020004_26
27,27,Mother,Lily020004,"oh , we could tell Manuela what you said yesterday .",Lily,58.55,62.878,[],[1|5|COM 2|1|LP] [3|5|SUBJ] [4|5|AUX] [5|0|ROOT] [6|5|OBJ] [7|9|LINK] [8|9|SUBJ] [9|5|COMP] [10|9|JCT 11|5|PUNCT],[co|oh cm|cm] [pro:sub|we] [mod|could] [v|tell] [n:prop|Manuela] [pro:int|what] [pro:per|you] [v|say&PAST] [adv:tem|yesterday .],,,,,,,,,,MotherofLily_Lily020004_27
28,28,Mother,Lily020004,when I said let's look at the sign (t:t:trail off),Lily,62.878,68.236,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ 5|4|OBJ] [6|4|XCOMP] [7|6|JCT] [8|9|DET] [9|7|POBJ 10|3|PUNCT],[conj|when] [pro:sub|I] [v|say&PAST] [v|let~pro:obj|us] [v|look] [prep|at] [det:art|the] [n|sign (mt:trail off)],,,,,,,,,,MotherofLily_Lily020004_28
29,29,Mother,Lily020004,what did we see on the sign ?,Lily,0.0,0.0,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|4|JCT] [6|7|DET] [7|5|POBJ 8|4|PUNCT],[pro:int|what] [mod|do&PAST] [pro:sub|we] [v|see] [prep|on] [det:art|the] [n|sign ?],,,,,,,,,,MotherofLily_Lily020004_29
30,30,Mother,Lily020004,at the gas station ?,Lily,0.0,0.0,[],[1|0|INCROOT] [2|4|DET] [3|4|MOD] [4|1|POBJ 5|1|PUNCT],[prep|at] [det:art|the] [n|gas] [n|station ?],,,,,,,,,,MotherofLily_Lily020004_30
31,31,Lily,Lily020004,Master_Card .,Lily,68.236,73.045,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Master_Card .],,,,,,,,,,LilyofLily_Lily020004_31
32,32,Mother,Lily020004,"Master_Card , and what else ?",Lily,0.0,0.0,[],[1|0|INCROOT 2|1|LP] [3|1|CONJ] [4|3|COORD] [5|4|PQ 6|1|PUNCT],[n:prop|Master_Card cm|cm] [coord|and] [pro:int|what] [post|else ?],,,,,,,,,,MotherofLily_Lily020004_32
33,33,Lily,Lily020004,visa .,Lily,73.045,78.565,[],[1|0|INCROOT 2|1|PUNCT],[n|visa .],,,,,,,,,,LilyofLily_Lily020004_33
34,34,Mother,Lily020004,"visa , and then what did you say ?",Lily,0.0,0.0,[],[1|0|INCROOT 2|1|LP] [3|1|CONJ] [4|8|JCT] [5|8|SUBJ] [6|8|AUX] [7|8|SUBJ] [8|3|COORD 9|1|PUNCT],[n|visa cm|cm] [coord|and] [adv:tem|then] [pro:int|what] [mod|do&PAST] [pro:per|you] [v|say ?],,,,,,,,,,MotherofLily_Lily020004_34
35,35,Lily,Lily020004,discover .,Lily,0.0,0.0,[],[1|0|ROOT 2|1|PUNCT],[v|discover .],,,,,,,,,,LilyofLily_Lily020004_35
36,36,Mother,Lily020004,discover .,Lily,78.565,85.445,[],[1|0|ROOT 2|1|PUNCT],[v|discover .],,,,,,,,,,MotherofLily_Lily020004_36
37,37,CameraOperator,Lily020004,discover xxx .,Lily,0.0,0.0,laughing,[1|0|ROOT] [2|1|PUNCT],[v|discover] [.],,,,,,,,,,CameraOperatorofLily_Lily020004_37
38,38,Mother,Lily020004,I've never heard her say that before .,Lily,0.0,0.0,[],[1|4|SUBJ 2|4|AUX] [3|4|JCT] [4|0|ROOT] [5|4|OBJ] [6|4|COMP] [7|6|COMP] [8|7|JCT 9|4|PUNCT],[pro:sub|I~aux|have] [adv|never] [v|hear&PAST] [pro:obj|her] [v|say] [pro:rel|that] [adv|before .],,,,,,,,,,MotherofLily_Lily020004_38
39,39,Mother,Lily020004,and I said oh_my_goodness .,Lily,0.0,0.0,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ 5|3|PUNCT],[coord|and] [pro:sub|I] [v|say&PAST] [co|oh_my_goodness .],,,,,,,,,,MotherofLily_Lily020004_39
40,40,Mother,Lily020004,is that what Mommy said ?,Lily,85.445,87.52,[],[1|5|AUX] [2|5|DET] [3|5|LINK] [4|5|SUBJ] [5|0|ROOT 6|5|PUNCT],[cop|be&3S] [pro:dem|that] [pro:int|what] [n:prop|Mommy] [v|say&PAST ?],,,,,,,,,,MotherofLily_Lily020004_40
41,41,Mother,Lily020004,oh_my_goodness .,Lily,87.52,89.223,[],[1|0|INCROOT 2|1|PUNCT],[co|oh_my_goodness .],,,,,,,,,,MotherofLily_Lily020004_41
42,42,Lily,Lily020004,juice .,Lily,89.223,90.791,[],[1|0|INCROOT 2|1|PUNCT],[n|juice .],,,,,,,,,,LilyofLily_Lily020004_42
43,43,Mother,Lily020004,discover .,Lily,0.0,0.0,[],[1|0|ROOT 2|1|PUNCT],[v|discover .],,,,,,,,,,MotherofLily_Lily020004_43
44,44,Lily,Lily020004,yyy juice .,Lily,90.791,93.02,[],[] [1|0|INCROOT 2|1|PUNCT],[] [n|juice .],,,,,,,,,,LilyofLily_Lily020004_44
45,45,CameraOperator,Lily020004,not accepted everywhere .,Lily,0.0,0.0,[],[1|3|NEG] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[neg|not] [part|accept-PASTP] [n|everywhere .],,,,,,,,,,CameraOperatorofLily_Lily020004_45
46,46,Mother,Lily020004,xxx .,Lily,0.0,0.0,[],[],[],,,,,,,,,,MotherofLily_Lily020004_46
47,47,Mother,Lily020004,"and , I know .",Lily,93.02,95.04,[],[1|4|LINK 2|1|LP] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[coord|and cm|cm] [pro:sub|I] [v|know .],,,,,,,,,,MotherofLily_Lily020004_47
48,48,Mother,Lily020004,and what else did we see when we were driving to Ronnie's house yesterday ?,Lily,95.04,98.753,[],[1|6|LINK] [2|6|LINK] [3|6|SUBJ] [4|6|AUX] [5|6|SUBJ] [6|0|ROOT] [7|10|LINK] [8|10|SUBJ] [9|10|AUX] [10|6|COMP] [11|10|JCT] [12|14|MOD 13|12|POSS] [14|11|POBJ] [15|10|JCT 16|6|PUNCT],[coord|and] [pro:int|what] [post|else] [mod|do&PAST] [pro:sub|we] [v|see] [conj|when] [pro:sub|we] [aux|be&PAST] [part|drive-PRESP] [prep|to] [n:prop|Ronnie~poss|s] [n|house] [adv:tem|yesterday ?],,,,,,,,,,MotherofLily_Lily020004_48
49,49,Mother,Lily020004,gulp gulp gulp .,Lily,98.753,106.463,[],[1|3|MOD] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[n|gulp] [n|gulp] [n|gulp .],,,,,,,,,,MotherofLily_Lily020004_49
50,50,Mother,Lily020004,is the juice good ?,Lily,106.463,112.95,[],[1|0|ROOT] [2|3|DET] [3|1|PRED] [4|3|POSTMOD 5|1|PUNCT],[cop|be&3S] [det:art|the] [n|juice] [adj|good ?],,,,,,,,,,MotherofLily_Lily020004_50
51,51,Mother,Lily020004,wow .,Lily,112.951,115.678,[],[1|0|INCROOT 2|1|PUNCT],[co|wow .],,,,,,,,,,MotherofLily_Lily020004_51
52,52,Mother,Lily020004,"op , back for more .",Lily,115.678,118.423,[],[1|5|COM 2|1|LP] [3|1|ENUM] [4|5|LINK] [5|0|ROOT 6|5|PUNCT],[co|op cm|cm] [n|back] [conj|for] [pro:indef|more .],,,,,,,,,,MotherofLily_Lily020004_52
53,53,Mother,Lily020004,&pshew .,Lily,118.423,122.031,[],[],[],,,,,,,,,,MotherofLily_Lily020004_53
54,54,Mother,Lily020004,what else did we see when we were driving ?,Lily,122.031,123.743,[],[1|5|LINK] [2|1|PQ] [3|5|AUX] [4|5|SUBJ] [5|0|ROOT] [6|9|LINK] [7|9|SUBJ] [8|9|AUX] [9|5|CJCT 10|5|PUNCT],[pro:int|what] [post|else] [mod|do&PAST] [pro:sub|we] [v|see] [conj|when] [pro:sub|we] [aux|be&PAST] [part|drive-PRESP ?],,,,,,,,,,MotherofLily_Lily020004_54
55,55,Mother,Lily020004,to Ronnie's house that you showed Mommy .,Lily,123.743,126.175,[],[1|0|INCROOT] [2|4|MOD 3|2|POSS] [4|1|POBJ] [5|7|LINK] [6|7|SUBJ] [7|4|CMOD] [8|7|OBJ 9|1|PUNCT],[prep|to] [n:prop|Ronnie~poss|s] [n|house] [pro:rel|that] [pro:per|you] [v|show-PAST] [n:prop|Mommy .],,,,,,,,,,MotherofLily_Lily020004_55
56,56,Mother,Lily020004,that you pointed out .,Lily,126.175,127.055,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT 5|3|PUNCT],[pro:rel|that] [pro:per|you] [v|point-PAST] [adv|out .],,,,,,,,,,MotherofLily_Lily020004_56
57,57,Lily,Lily020004,fire hydrant .,Lily,127.055,133.008,[],[1|2|MOD] [2|0|ROOT 3|2|PUNCT],[n|fire] [n|hydrant .],,,,,,,,,,LilyofLily_Lily020004_57
58,58,Mother,Lily020004,the fire hydrant .,Lily,0.0,0.0,[],[1|3|DET] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[det:art|the] [n|fire] [n|hydrant .],,,,,,,,,,MotherofLily_Lily020004_58
59,59,Mother,Lily020004,and Mommy said oh_my_goodness where did you learn about fire hydrants ?,Lily,133.008,139.951,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|8|COM] [5|8|LINK] [6|8|AUX] [7|8|SUBJ] [8|3|COMP] [9|8|JCT] [10|11|MOD] [11|9|POBJ 12|3|PUNCT],[coord|and] [n:prop|Mommy] [v|say&PAST] [co|oh_my_goodness] [adv:int|where] [mod|do&PAST] [pro:per|you] [v|learn] [prep|about] [n|fire] [n|hydrant-PL ?],,,,,,,,,,MotherofLily_Lily020004_59
60,60,Mother,Lily020004,I didn't even know .,Lily,0.0,0.0,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|4|OBJ 6|4|PUNCT],[pro:sub|I] [mod|do&PAST~neg|not] [v|even] [v|know .],,,,,,,,,,MotherofLily_Lily020004_60
61,61,Mother,Lily020004,and what did you tell Mommy ?,Lily,0.0,0.0,[],[1|5|LINK] [2|5|SUBJ] [3|5|AUX] [4|5|SUBJ] [5|0|ROOT] [6|5|OBJ 7|5|PUNCT],[coord|and] [pro:int|what] [mod|do&PAST] [pro:per|you] [v|tell] [n:prop|Mommy ?],,,,,,,,,,MotherofLily_Lily020004_61
62,62,Lily,Lily020004,fire+fighter book .,Lily,139.951,144.751,[],[1|2|MOD] [2|0|ROOT 3|2|PUNCT],[n|+n|fire+n|fighter] [n|book .],,,,,,,,,,LilyofLily_Lily020004_62
63,63,Mother,Lily020004,your fire+fighter book .,Lily,144.751,146.518,[],[1|3|MOD] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[det:poss|your] [n|+n|fire+n|fighter] [n|book .],,,,,,,,,,MotherofLily_Lily020004_63
64,64,Lily,Lily020004,it's yyy fire trucks .,Lily,146.518,152.208,[],[1|2|SUBJ 2|0|ROOT] [] [3|4|MOD] [4|2|PRED 5|2|PUNCT],[pro:per|it~cop|be&3S] [] [n|fire] [n|truck-PL .],,,,,,,,,,LilyofLily_Lily020004_64
65,65,Mother,Lily020004,it's about fire trucks .,Lily,0.0,0.0,[],[1|2|SUBJ 2|0|ROOT] [3|4|JCT] [4|5|MOD] [5|2|PRED 6|2|PUNCT],[pro:per|it~cop|be&3S] [adv|about] [n|fire] [n|truck-PL .],,,,,,,,,,MotherofLily_Lily020004_65
66,66,Mother,Lily020004,great !,Lily,152.208,153.648,[],[1|0|INCROOT 2|1|PUNCT],[adj|great !],,,,,,,,,,MotherofLily_Lily020004_66
67,67,Mother,Lily020004,that was really good honey .,Lily,153.648,158.171,[],[1|2|SUBJ] [2|0|ROOT] [3|4|JCT] [4|5|MOD] [5|2|PRED 6|2|PUNCT],[pro:dem|that] [cop|be&PAST&13S] [adv|real&dadj-LY] [adj|good] [n|honey .],,,,,,,,,,MotherofLily_Lily020004_67
68,68,Mother,Lily020004,you surprised Mommy .,Lily,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:per|you] [v|surprise-PAST] [n:prop|Mommy .],,,,,,,,,,MotherofLily_Lily020004_68
69,69,Mother,Lily020004,Mommy didn't even know you knew about fire hydrants .,Lily,158.171,160.626,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|4|OBJ] [6|7|SUBJ] [7|5|COMP] [8|7|JCT] [9|10|MOD] [10|8|POBJ 11|4|PUNCT],[n:prop|Mommy] [mod|do&PAST~neg|not] [v|even] [v|know] [pro:per|you] [v|know&PAST] [prep|about] [n|fire] [n|hydrant-PL .],,,,,,,,,,MotherofLily_Lily020004_69
70,70,Mother,Lily020004,but you're smart .,Lily,160.626,163.843,[],[1|3|LINK] [2|3|SUBJ 3|0|ROOT] [4|3|PRED 5|3|PUNCT],[conj|but] [pro:per|you~cop|be&PRES] [adj|smart .],,,,,,,,,,MotherofLily_Lily020004_70
71,71,CameraOperator,Lily020004,she put an r@l xxx .,Lily,163.843,169.741,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ] [5|2|PUNCT],[pro:sub|she] [v|put&ZERO] [det:art|a] [n:let|r] [.],,,,,,,,,,CameraOperatorofLily_Lily020004_71
72,72,Mother,Lily020004,the hydrant ?,Lily,0.0,0.0,[],[1|2|DET] [2|0|INCROOT 3|2|PUNCT],[det:art|the] [n|hydrant ?],,,,,,,,,,MotherofLily_Lily020004_72
73,73,Mother,Lily020004,what was (t:t:self interruption question),Lily,169.741,172.546,[],[1|2|LINK] [2|0|ROOT 3|2|PUNCT],[pro:int|what] [cop|be&PAST&13S (mt:self interruption question)],,,,,,,,,,MotherofLily_Lily020004_73
74,74,Mother,Lily020004,honey can you say fire hydrant ?,Lily,0.0,0.0,[],[1|4|COM] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|6|MOD] [6|4|OBJ 7|4|PUNCT],[co|honey] [mod|can] [pro:per|you] [v|say] [n|fire] [n|hydrant ?],,,,,,,,,,MotherofLily_Lily020004_74
75,75,Lily,Lily020004,fire hydrant .,Lily,172.546,174.398,[],[1|2|MOD] [2|0|ROOT 3|2|PUNCT],[n|fire] [n|hydrant .],,,,,,,,,,LilyofLily_Lily020004_75
76,76,Mother,Lily020004,"oh_my_goodness , fire hydrant , oh my g<oodness> (t:t:interruption)",Lily,0.0,0.0,[],[1|4|COM 2|1|LP] [3|4|MOD] [4|0|ROOT 5|4|LP] [6|8|COM] [7|8|MOD] [8|4|ENUM 9|4|PUNCT],[co|oh_my_goodness cm|cm] [n|fire] [n|hydrant cm|cm] [co|oh] [det:poss|my] [co|goodness (mt:interruption)],,,,,,,,,,MotherofLily_Lily020004_76
77,77,Lily,Lily020004,xxx oh my .,Lily,174.398,181.116,laughter,[] [1|2|COM] [2|0|ROOT 3|2|PUNCT],[] [co|oh] [det:poss|my .],,,,,,,,,,LilyofLily_Lily020004_77
78,78,Mother,Lily020004,oh my .,Lily,0.0,0.0,[],[1|2|COM] [2|0|ROOT 3|2|PUNCT],[co|oh] [det:poss|my .],,,,,,,,,,MotherofLily_Lily020004_78
79,79,Lily,Lily020004,xxx .,Lily,181.116,183.331,laughter,[],[],,,,,,,,,,LilyofLily_Lily020004_79
80,80,Mother,Lily020004,he he he he .,Lily,0.0,0.0,laughing,[1|4|SUBJ] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[pro:sub|he] [pro:sub|he] [pro:sub|he] [pro:sub|he .],,,,,,,,,,MotherofLily_Lily020004_80
81,81,Mother,Lily020004,"xxx , Lily can you show Manuela how you do your tushie shake and your jump in your tutu ?",Lily,183.331,188.275,[],[1|5|LINK] [2|5|SUBJ] [3|5|AUX] [4|5|SUBJ] [5|0|ROOT] [6|5|OBJ] [7|9|LINK] [8|9|SUBJ] [9|6|CMOD] [10|12|MOD] [11|12|MOD] [12|9|OBJ] [13|9|CONJ] [14|15|MOD] [15|13|COORD] [16|15|NJCT] [17|18|MOD] [18|16|POBJ 19|5|PUNCT],[cm|cm] [n:prop|Lily] [mod|can] [pro:per|you] [v|show] [n:prop|Manuela] [adv:int|how] [pro:per|you] [v|do] [det:poss|your] [n|tush-DIM] [n|shake] [coord|and] [det:poss|your] [n|jump] [prep|in] [det:poss|your] [n|tutu ?],,,,,,,,,,MotherofLily_Lily020004_81
82,82,Lily,Lily020004,yyy .,Lily,188.275,193.321,[],[],[],,,,,,,,,,LilyofLily_Lily020004_82
83,83,Mother,Lily020004,"oh , my_goodness .",Lily,0.0,0.0,[],[1|0|INCROOT 2|1|LP] [3|1|ENUM 4|1|PUNCT],[co|oh cm|cm] [co|my_goodness .],,,,,,,,,,MotherofLily_Lily020004_83
84,84,CameraOperator,Lily020004,xxx .,Lily,0.0,0.0,laughing,[],[],,,,,,,,,,CameraOperatorofLily_Lily020004_84
85,85,Lily,Lily020004,yyy .,Lily,193.321,195.011,[],[],[],,,,,,,,,,LilyofLily_Lily020004_85
86,86,Mother,Lily020004,what do you see ?,Lily,195.011,196.22,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[pro:int|what] [mod|do] [pro:per|you] [v|see ?],,,,,,,,,,MotherofLily_Lily020004_86
87,87,Lily,Lily020004,I fix .,Lily,196.22,200.91,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[pro:sub|I] [v|fix .],,,,,,,,,,LilyofLily_Lily020004_87
88,88,Mother,Lily020004,"xxx , very good honey .",Lily,200.91,203.04,[],[1|4|MOD] [2|3|JCT] [3|4|MOD] [4|0|INCROOT 5|4|PUNCT],[cm|cm] [adv|very] [adj|good] [n|honey .],,,,,,,,,,MotherofLily_Lily020004_88
89,89,Mother,Lily020004,very nice .,Lily,203.04,205.215,[],[1|2|JCT] [2|0|INCROOT 3|2|PUNCT],[adv|very] [adj|nice .],,,,,,,,,,MotherofLily_Lily020004_89
90,90,Lily,Lily020004,yyy .,Lily,205.215,206.508,[],[],[],,,,,,,,,,LilyofLily_Lily020004_90
91,91,Lily,Lily020004,yyy .,Lily,206.508,207.845,[],[],[],,,,,,,,,,LilyofLily_Lily020004_91
92,92,Lily,Lily020004,yyy .,Lily,207.845,210.346,[],[],[],,,,,,,,,,LilyofLily_Lily020004_92
93,93,Mother,Lily020004,oh_my_goodness .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|oh_my_goodness .],,,,,,,,,,MotherofLily_Lily020004_93
94,94,Lily,Lily020004,xxx xxx .,Lily,210.346,212.59,laughing,[],[],,,,,,,,,,LilyofLily_Lily020004_94
95,95,Mother,Lily020004,xxx .,Lily,0.0,0.0,laughing,[],[],,,,,,,,,,MotherofLily_Lily020004_95
96,96,Mother,Lily020004,are you eating your hand ?,Lily,212.59,214.245,[],[1|0|ROOT] [2|1|OBJ] [3|2|XJCT] [4|5|MOD] [5|3|OBJ 6|1|PUNCT],[cop|be&PRES] [pro:per|you] [part|eat-PRESP] [det:poss|your] [n|hand ?],,,,,,,,,,MotherofLily_Lily020004_96
97,97,Mother,Lily020004,"xxx , there's your hand .",Lily,214.245,219.975,gasp,[1|3|LINK] [2|3|SUBJ 3|0|ROOT] [4|5|MOD] [5|3|PRED 6|3|PUNCT],[cm|cm] [pro:exist|there~cop|be&3S] [det:poss|your] [n|hand .],,,,,,,,,,MotherofLily_Lily020004_97
98,98,Mother,Lily020004,are we going (t:t:interruption),Lily,0.0,0.0,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[cop|be&PRES] [pro:sub|we] [part|go-PRESP (mt:interruption)],,,,,,,,,,MotherofLily_Lily020004_98
99,99,Lily,Lily020004,xxx .,Lily,219.975,223.05,[],[],[],,,,,,,,,,LilyofLily_Lily020004_99
100,100,Mother,Lily020004,woo .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|woo .],,,,,,,,,,MotherofLily_Lily020004_100
101,101,Mother,Lily020004,can I see that tushie shake again ?,Lily,223.05,224.915,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|6|MOD] [5|6|MOD] [6|3|OBJ] [7|6|JCT 8|3|PUNCT],[mod|can] [pro:sub|I] [v|see] [pro:rel|that] [n|tush-DIM] [n|shake] [adv|again ?],,,,,,,,,,MotherofLily_Lily020004_101
